ts,value,time_ms,time_s
1575300077.3474145,32.0,15:21:17.347414,15:21:17
1575300077.397548,32.0,15:21:17.397548,15:21:17
1575300185.1332345,32.0,15:23:05.133235,15:23:05
1575300185.183393,48.0,15:23:05.183393,15:23:05
1575300185.2335296,48.0,15:23:05.233530,15:23:05
1575300185.2836628,48.0,15:23:05.283663,15:23:05
1575300185.333789,32.0,15:23:05.333789,15:23:05
1575300185.3839471,32.0,15:23:05.383947,15:23:05
1575300185.5343955,32.0,15:23:05.534395,15:23:05
1575300185.584528,32.0,15:23:05.584528,15:23:05
1575300185.6346624,32.0,15:23:05.634662,15:23:05
1575300185.684791,32.0,15:23:05.684791,15:23:05
1575300185.987515,32.0,15:23:05.987515,15:23:05
1575300186.0376449,32.0,15:23:06.037645,15:23:06
1575300186.089113,32.0,15:23:06.089113,15:23:06
1575300189.799475,32.0,15:23:09.799475,15:23:09
1575300189.8496027,32.0,15:23:09.849603,15:23:09
1575300189.8997507,32.0,15:23:09.899751,15:23:09
1575300333.257344,32.0,15:25:33.257344,15:25:33
1575300333.3074818,32.0,15:25:33.307482,15:25:33
1575300333.3576665,32.0,15:25:33.357666,15:25:33
1575300334.3105302,32.0,15:25:34.310530,15:25:34
1575300334.360665,32.0,15:25:34.360665,15:25:34
1575300334.45026,32.0,15:25:34.450260,15:25:34
1575300335.4530454,32.0,15:25:35.453045,15:25:35
1575300335.5031786,32.0,15:25:35.503179,15:25:35
1575300335.5612116,32.0,15:25:35.561212,15:25:35
1575300335.6113386,32.0,15:25:35.611339,15:25:35
1575300537.6637444,32.0,15:28:57.663744,15:28:57
1575300537.7138715,32.0,15:28:57.713871,15:28:57
1575300537.764078,32.0,15:28:57.764078,15:28:57
1575300538.616713,32.0,15:28:58.616713,15:28:58
1575300538.6668375,32.0,15:28:58.666837,15:28:58
1575300538.7169638,32.0,15:28:58.716964,15:28:58
1575300538.7670898,32.0,15:28:58.767090,15:28:58
1575300539.0679705,48.0,15:28:59.067971,15:28:59
1575300539.118096,48.0,15:28:59.118096,15:28:59
1575300539.1682224,48.0,15:28:59.168222,15:28:59
1575300539.2183466,48.0,15:28:59.218347,15:28:59
1575300540.2213228,32.0,15:29:00.221323,15:29:00
1575300540.271452,32.0,15:29:00.271452,15:29:00
1575300540.3215759,32.0,15:29:00.321576,15:29:00
1575300542.678184,32.0,15:29:02.678184,15:29:02
1575300542.7289774,32.0,15:29:02.728977,15:29:02
1575300542.779119,32.0,15:29:02.779119,15:29:02
1575300542.8340795,32.0,15:29:02.834080,15:29:02
1575300543.235252,48.0,15:29:03.235252,15:29:03
1575300543.285571,80.0,15:29:03.285571,15:29:03
1575300543.335707,80.0,15:29:03.335707,15:29:03
1575300543.3858466,48.0,15:29:03.385847,15:29:03
1575300543.4359806,32.0,15:29:03.435981,15:29:03
1575300543.837099,80.0,15:29:03.837099,15:29:03
1575300543.8872359,48.0,15:29:03.887236,15:29:03
1575300543.9373627,48.0,15:29:03.937363,15:29:03
1575300543.9875026,48.0,15:29:03.987503,15:29:03
1575300544.03764,32.0,15:29:04.037640,15:29:04
1575300544.1880474,32.0,15:29:04.188047,15:29:04
1575300544.3384495,32.0,15:29:04.338449,15:29:04
1575300544.3886595,32.0,15:29:04.388659,15:29:04
1575300544.4388034,48.0,15:29:04.438803,15:29:04
1575300544.4891164,48.0,15:29:04.489116,15:29:04
1575300544.5392554,64.0,15:29:04.539255,15:29:04
1575300544.5893946,64.0,15:29:04.589395,15:29:04
1575300544.641161,64.0,15:29:04.641161,15:29:04
1575300544.6913035,64.0,15:29:04.691303,15:29:04
1575300544.74143,48.0,15:29:04.741430,15:29:04
1575300544.7915733,32.0,15:29:04.791573,15:29:04
1575300544.841709,32.0,15:29:04.841709,15:29:04
1575300544.9921305,32.0,15:29:04.992131,15:29:04
1575300545.042267,32.0,15:29:05.042267,15:29:05
1575300545.0924096,32.0,15:29:05.092410,15:29:05
1575300545.1425571,32.0,15:29:05.142557,15:29:05
1575300545.192698,32.0,15:29:05.192698,15:29:05
1575300545.2428422,32.0,15:29:05.242842,15:29:05
